Date,Open,Change %
2019-11-12,8737,0.87
2019-11-11,9036,-3.32
2019-11-10,8804,2.64
2019-11-09,8778,0.3
2019-11-08,9223,-4.83
2019-11-07,9339,-1.24
2019-11-06,9311,0.3
2019-11-05,9396,-0.91
2019-11-04,9198,2.15
2019-11-03,9300,-1.1
2019-11-02,9230,0.76
2019-11-01,9153,0.85
2019-10-31,9157,-0.06
2019-10-30,9411,-2.69
2019-10-29,9206,2.22
2019-10-28,9530,-3.38
2019-10-27,9230,3.24
2019-10-26,8658,6.61
2019-10-25,7422,16.65
2019-10-24,7476,-0.73
2019-10-23,8031,-6.9
2019-10-22,8207,-2.15
2019-10-21,8224,-0.18
2019-10-20,7957,3.34
2019-10-19,7948,0.11
2019-10-18,8073,-1.55
2019-10-17,8000,0.91
2019-10-16,8167,-2.04
2019-10-15,8353,-2.23
2019-10-14,8281,0.87
2019-10-13,8304,-0.28
2019-10-12,8267,0.44
2019-10-11,8562,-3.44
2019-10-10,8566,-0.05
2019-10-09,8180,4.69
2019-10-08,8198,-0.19
2019-10-07,7882,4.02
2019-10-06,8127,-3.02
2019-10-05,8148,-0.25
2019-10-04,8227,-0.96
2019-10-03,8363,-1.64
2019-10-02,8302,0.74
2019-10-01,8285,0.22
2019-09-30,8048,2.92
2019-09-29,8208,-1.94
2019-09-28,8184,0.29
2019-09-27,8063,1.5
2019-09-26,8432,-4.37
2019-09-25,8512,-0.96
2019-09-24,9702,-12.25
2019-09-23,10031,-3.28
2019-09-22,9993,0.39
2019-09-21,10172,-1.77
2019-09-20,10251,-0.76
2019-09-19,10164,0.84
2019-09-18,10195,-0.3
2019-09-17,10254,-0.58
2019-09-16,10311,-0.54
2019-09-15,10337,-0.25
2019-09-14,10342,-0.05
2019-09-13,10415,-0.7
2019-09-12,10162,2.49
2019-09-11,10104,0.57
2019-09-10,10308,-1.98
2019-09-09,10402,-0.9
2019-09-08,10461,-0.56
2019-09-07,10306,1.47
2019-09-06,10566,-2.44
2019-09-05,10567,-0.01
2019-09-04,10611,-0.42
2019-09-03,10348,2.55
2019-09-02,9728,6.37
2019-09-01,9594,1.41
2019-08-31,9585,0.09
2019-08-30,9494,0.99
2019-08-29,9729,-2.45
2019-08-28,10184,-4.47
2019-08-27,10372,-1.8
2019-08-26,10136,2.32
2019-08-25,10132,0.05
